tpeak,amp,ed_s,fall
2247.215896,0.004229744,0.700259339,0.00108194
2247.233951,0.003542938,3.38800109,0.01
2247.239507,0.00383806,2.2791177,0.006176832
2247.736717,0.020095215,3.893601525,0.001456135
2247.904768,0.003593874,3.02809195,0.009212393
2248.170039,0.004389096,1.351370791,0.002871658
2248.258926,0.002973366,0.79188017,0.002230053
2248.365867,0.003184463,1.173150164,0.003303658
2248.45892,0.006068367,2.309117122,0.003484309
2248.510308,0.008924883,5.350227265,0.006089284
2248.554751,0.004599669,0.849730959,0.00132803
2248.656137,0.00643833,4.007234421,0.006415305
2248.96724,0.013675791,12.32502206,0.009872009
2249.126958,0.002532562,1.502368164,0.006555296
2249.238066,0.002701051,1.200913743,0.005159112
2249.626943,0.00218508,2.19237454,0.01
2249.83527,0.011788256,3.44955006,0.002591928
2249.944989,0.005111289,1.700857975,0.003369895
2250.02832,0.001239575,1.037808431,0.01
2250.039431,0.001743241,0.921465209,0.005529597
2250.106096,0.010731318,2.31173865,0.00175521
2250.119984,0.00272596,1.074866201,0.003866147
2250.276924,0.003684583,0.718455156,0.001505282
2250.61858,0.003184151,1.146785257,0.003371092
2250.754686,0.002986873,0.570683168,0.001415647
2250.783852,0.003391627,1.716398505,0.005209325
2250.944958,0.008109289,6.32348867,0.008248251
2251.160229,0.006179398,2.966148091,0.00503315
2251.907426,0.003791931,1.83330333,0.004949387
2252.203248,0.004629232,0.816718615,0.001239031
2252.549069,0.004466947,3.013144803,0.008921077
2252.737951,0.004333363,0.723620562,0.00112687
2253.26432,0.04613992,13.93210637,0.002757922
2253.572641,0.00718455,2.205680113,0.002899838
2253.705969,0.006706168,1.911129573,0.002622001
2253.874017,0.008962575,5.74982357,0.006495334
2253.903183,0.036959909,14.32348706,0.003850094
